typeinf;stypeinf;nnn;lib_stype;surf;symb_surf;d_symb_surf;lin;symb_lin;d_symb_lin;pt;symb_pct;d_symb_pct;etiquette;classement
02;00;001;Zone d'aménagement concerté;S;INF-S_02-00_001;Remplissage simple\n• couleur de remplissage : RVB 255,127,127 (#ff7f7f), transparence 60%\n• couleur de trait : RVB 255,0,0 (#ff0000)\n• largeur de trait : 1 pt\n• style de trait : ligne continue;;;;;;;02-00_001;symbole
03;00;001;Zone de préemption dans un espace naturel et sensible. [Attention : information facultative non exigée par la loi];S;INF-S_03-00_001;Ligne de symboles\n• intervalle : 13 pt\n\nSymbole de police\n• caractère(s) : unicode 129\n• couleur de remplissage : RVB 38,140,0 (#268c00)\n• décalage (en x, en y) : 0,-4 pt\n• famille de police : Wingdings 3\n• rotation : 180°\n• taille : 8 pt\nLigne simple\n\n• couleur : RVB 38,140,0 (#268c00)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\nLigne simple\n\n• couleur : RVB 255,255,255 (#ffffff)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\n• décalage (en x, en y) : 0,-1 pt;;;;;;;03-00_001;symbole
04;00;001;Périmètre de droit de préemption urbain;S;INF-S_04-00_001;Ligne de symboles\n• intervalle : 13 pt\n\nSymbole de police\n• caractère(s) : unicode 129\n• couleur de remplissage : RVB 255,0,0 (#ff0000)\n• décalage (en x, en y) : 0,-4 pt\n• famille de police : Wingdings 3\n• rotation : 180°\n• taille : 8 pt\nLigne simple\n\n• couleur : RVB 255,0,0 (#ff0000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\nLigne simple\n\n• couleur : RVB 255,255,255 (#ffffff)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\n• décalage (en x, en y) : 0,-1 pt;;;;;;;04-00_001;symbole
04;01;001;Périmètre de droit de préemption urbain renforcé;S;INF-S_04-01_001;Ligne de symboles\n• intervalle : 13 pt\n\nSymbole de police\n• caractère(s) : unicode 129\n• couleur de remplissage : RVB 255,0,0 (#ff0000)\n• décalage (en x, en y) : 0,-4 pt\n• famille de police : Wingdings 3\n• rotation : 180°\n• taille : 8 pt\nMotif de points\n• décalage horizontal : 25 pt\n• décalage vertical : 25 pt\n• distance horizontale : 50 pt\n• distance verticale : 50 pt\n\nSymbole de police\n• caractère(s) : U (unicode 85)\n• couleur de remplissage : RVB 166,0,0 (#a60000)\n• décalage (en x, en y) : 10,0 pt\n• famille de police : Arial\n• taille : 7 pt\n\nSymbole de police\n• caractère(s) : P (unicode 80)\n• couleur de remplissage : RVB 166,0,0 (#a60000)\n• décalage (en x, en y) : 5,0 pt\n• famille de police : Arial\n• taille : 7 pt\n\nSymbole de police\n• caractère(s) : D (unicode 68)\n• couleur de remplissage : RVB 166,0,0 (#a60000)\n• famille de police : Arial\n• taille : 7 pt\nLigne simple\n\n• couleur : RVB 255,0,0 (#ff0000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\nLigne simple\n\n• couleur : RVB 255,255,255 (#ffffff)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue\n• décalage (en x, en y) : 0,-1 pt;;;;;;;04-01_001;symbole
05;00;001;Zone d'aménagement différé;S;INF-S_05-00_001;Motif de points\n• distance horizontale : 4 pt\n• distance verticale : 4 pt\n\n    Symbole de police\n    • caractère(s) : = (unicode 61)\n    • couleur de remplissage : RVB 90,112,255 (#5a70ff)\n    • famille de police : Webdings\n    • taille : 2 pt\n\nLigne simple\n• couleur : RVB 90,112,255 (#5a70ff)\n• largeur de trait : 1.5 pt\n• style de trait : ligne tiret-point;;;;;;;05-00_001;symbole
07;00;001;Périmètre de développement prioritaire économie d'énergie;S;INF-S_07-00_001;Motif de points\n• déplacement horizontal : 12 pt\n• distance horizontale : 24 pt\n• distance verticale : 20 pt\n\n    Symbole de police\n    • caractère(s) : unicode 8734\n    • couleur de remplissage : RVB 132,0,168 (#8400a8)\n    • famille de police : Arial Black\n    • style de jointure : rond\n    • taille : 14 pt\n\nLigne simple\n• couleur : RVB 132,0,168 (#8400a8)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;07-00_001;symbole
08;00;001;Périmètre forestier : interdiction ou réglementation des plantations (code rural et de la pêche maritime), plantations à réaliser et semis d'essence forestière;S;INF-S_08-00_001;Motif de points\n• décalage horizontal : 12 pt\n• décalage vertical : -12 pt\n• distance horizontale : 25 pt\n• distance verticale : 25 pt\n\n    Symbole de police\n    • caractère(s) : unicode 9619\n    • couleur de remplissage : RVB 38,140,0 (#268c00)\n    • famille de police : Arial\n    • taille : 12 pt\n\nLigne simple\n• couleur : RVB 38,140,0 (#268c00)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;08-00_001;symbole
09;00;001;Périmètre minier de concession pour l'exploitation ou le stockage;S;INF-S_09-00_001;Motif de points\n• distance horizontale : 15.95 pt\n• distance verticale : 25.5 pt\n\n    Symbole de police\n    • caractère(s) : unicode 9618\n    • couleur de remplissage : RVB 205,170,102 (#cdaa66)\n    • famille de police : Arial\n    • taille : 22 pt\n\nLigne simple\n• couleur : RVB 205,170,102 (#cdaa66)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;09-00_001;symbole
10;00;001;Zone de recherche et d'exploitation de carrière;S;INF-S_10-00_001;Motif de lignes\n• décalage : 148 pt\n• espacement : 8.5 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 168,112,0 (#a87000)\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nMotif de lignes\n• décalage : 153 pt\n• espacement : 25 pt\n• rotation : 135°\n\n    Ligne simple\n    • couleur : RVB 168,112,0 (#a87000)\n    • largeur de trait : 0.8 pt\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 168,112,0 (#a87000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;10-00_001;symbole
11;00;001;Périmètre des zones délimitées - divisions foncières soumises à déclaration préalable;S;INF-S_11-00_001;Motif de points\n• distance horizontale : 7 pt\n• distance verticale : 7 pt\n\n    Symbole de police\n    • caractère(s) : l (unicode 108)\n    • couleur de remplissage : RVB 230,0,0 (#e60000)\n    • famille de police : Wingdings\n    • taille : 2 pt\n\nLigne simple\n• couleur : RVB 230,0,0 (#e60000)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;;;;;;;11-00_001;symbole
