typepsc;stypepsc;nnn;lib_stype;surf;symb_surf;d_symb_surf;lin;symb_lin;d_symb_lin;pt;symb_pct;d_symb_pct;etiquette;plu_psmv;classement
01;00;001;Espace boisé classé;S;PSC-S_01-00_001;Motif de points\n• distance horizontale : 10 pt\n• distance verticale : 10 pt\n\n    Symbole simple\n    • couleur de remplissage : transparent\n    • couleur de trait : RVB 90,140,40 (#5a8c28)\n    • largeur de trait : 0.8 pt\n    • nom du symbole : square\n    • style de trait : ligne continue\n    • taille : 10 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 90,140,40 (#5a8c28)\n    • nom du symbole : circle\n    • taille : 5 pt\n\nLigne simple\n• couleur : RVB 90,140,40 (#5a8c28)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_01-00_001;Ligne de symboles\n• intervalle : 6 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 38,140,0 (#268c00)\n    • nom du symbole : circle\n    • style de jointure : angle droit\n    • taille : 5 pt;P;PSC-P_01-00_001;Symbole simple\n• couleur de remplissage : RVB 38,140,0 (#268c00)\n• nom du symbole : circle\n• taille : 7;01-00 à 02_001;psmv;symbole
01;01;001;Espace boisé classé à protéger ou conserver;S;PSC-S_01-01_001;;L;PSC-L_01-01_001;;P;PSC-P_01-01_001;;01-01_001;psmv;sous-code
01;02;001;Espace boisé classé à créer;S;PSC-S_01-02_001;;L;PSC-L_01-02_001;;P;PSC-P_01-02_001;;01-02_001;psmv;sous-code
01;03;001;Espace boisé classé significatif au titre de la loi littoral;S;PSC-S_01-03_001;Motif de points\n• distance horizontale : 5 pt\n• distance verticale : 5 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 0,168,132 (#00A884)\n    • nom du symbole : circle\n    • taille : 1.5 pt\n\nMotif de points\n• distance horizontale : 10 pt\n• distance verticale : 10 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 255,255,255 (#ffffff)\n    • couleur de trait : RVB 86,170,2 (#56aa02)\n    • largeur de trait : 0.8 pt\n    • nom du symbole : circle\n    • style de trait : ligne continue\n    • taille : 8 pt\n\nLigne simple\n• couleur : RVB 0,168,132 (#00A884)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_01-03_001;Ligne de symboles\n• intervalle : 6 pt\n\n    Symbole simple\n    • couleur de remplissage : RVB 0,168,132 (#00A884)\n    • nom du symbole : circle\n    • style de jointure : angle droit\n    • taille : 5 pt;P;PSC-P_01-03_001;Symbole simple\n• couleur de remplissage : RVB 0,168,132 (#00A884)\n• nom du symbole : circle\n• taille : 7;01-03_001;psmv;symbole
02;00;001;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général;S;PSC-S_02-00_001;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 110,110,110 (#6e6e6e)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 110,110,110 (#6e6e6e)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_001;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 110,110,110 (#6e6e6e)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_001;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 110,110,110 (#6E6E6E);02-00_001;plu;symbole
02;00;110;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général : INONDATION;S;PSC-S_02-00_110;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 0,77,168 (#004DA8)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 45°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 0,77,168 (#004DA8)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_110;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 0,77,168 (#004DA8)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_110;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 0,77,168 (#004DA8);02-00_110;plu;alternatif
02;00;120;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général : MOUVEMENT TERRAIN;S;PSC-S_02-00_120;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 60°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 115,76,0 (#734C00)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 60°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 60°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 115,76,0 (#734C00)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_120;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 115,76,0 (#734C00)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_120;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 115,76,0 (#734C00);02-00_120;plu;alternatif
02;00;140;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général : AVALANCHE;S;PSC-S_02-00_140;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 120°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 225,225,225 (#E1E1E1)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 120°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 120°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 225,225,225 (#E1E1E1)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_140;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 225,225,225 (#E1E1E1)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_140;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 225,225,225 (#E1E1E1)\nSymbole simple\n• nom du symbole : triangle\n• taille : 12 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E);02-00_140;plu;alternatif
02;00;160;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général : FEU;S;PSC-S_02-00_160;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 30°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 255,85,0 (#FF5500)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 30°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 30°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 255,85,0 (#FF5500)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_160;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 255,85,0 (#FF5500)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_160;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 255,85,0 (#FF5500);02-00_160;plu;alternatif
02;00;200;Limitations de la constructibilité pour des raisons environnementales, de risques, d’intérêt général : TECHNOLOGIQUE;S;PSC-S_02-00_200;Motif de lignes\n• décalage : 4 pt\n• espacement : 13 pt\n• rotation : 90°\n\n    Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 115,0,76 (#73004C)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 1 pt\n\nMotif de lignes\n• décalage : 9 pt\n• espacement : 13 pt\n• rotation : 90°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nMotif de lignes\n• espacement : 13 pt\n• rotation : 90°\n\n    Ligne simple\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.8 pt\n    • style de cap : plat\n    • style de jointure : angle droit\n    • style de trait : ligne continue\n\nLigne simple\n• couleur : RVB 115,0,76 (#73004C)\n• largeur de trait : 0.8 pt\n• style de trait : ligne continue;L;PSC-L_02-00_200;Ligne de symboles\n    • intervalle : 4 pt\n\n        Symbole simple\n        • couleur de remplissage : RVB 115,0,76 (#73004C)\n        • nom du symbole : circle\n        • style de jointure : angle droit\n        • taille : 2 pt\n\n    Ligne simple\n    • décalage vertical : 1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue\n\n    Ligne simple\n    • décalage vertical : -1 pt\n    • couleur : RVB 110,110,110 (#6e6e6e)\n    • largeur de trait : 0.6 pt\n    • style de trait : ligne continue;P;PSC-P_02-00_200;Symbole simple\n• nom du symbole : triangle\n• taille : 8 pt\n• couleur de remplissage : RVB 110,110,110 (#6E6E6E)\n• taille de contour : 1,5 pt\n• couleur de contour : RVB 115,0,76 (#73004C);02-00_200;plu;alternatif
