typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
A1;A1 - Servitudes de protection des bois et des forêts relevant du régime forestier à Mayotte ;A1|gen|ass;Motif ponctuel de remplissage :\nSymbole de police : Wingdings\nTaille : 15,0\nCouleur : #33a02c\nDécalage X : 0,00 Décalage Y : 0,00\nSéparation X : 15,00\nSéparation Y: 15,00\nContour polygone : Taille : 0,5   Couleur : #00ff00;A1|gen|ass;symbole;
A2;A2 - Servitudes de passage des conduites souterraines d’irrigation;A2|gen|ass;Style de remplissage : pas de remplissage\nStyle de bordure : ligne en pointillé\nLargeur de bordure : 3 pixels\nCouleur : #00ff00;A2|gen|ass;symbole;
A3;A3 - Servitudes de passage des engins mécaniques et de dépôt pour l’entretien des canaux d’irrigation et de certains émissaires d’assainissement;A3|gen|ass;Style de remplissage : pas de remplissage\nStyle de bordure : ligne en tireté\nsymbole : trait, taille 18, épaisseur 2\ncouleur: #00ff00;A3|gen|ass;symbole;
A4;A4 - Servitudes de passage dans le lit ou sur les berges des cours d’eau;A4|gen|ass;Style de remplissage : pas de remplissage\nStyle de bordure : ligne en tireté\nsymbole : trait, taille : 4, épaisseur 2\nCouleur : #00ff00;A4|gen|ass;symbole;
A5;A5 - Servitudes pour l’établissement de canalisations publiques d’eau ou d’assainissement;A5|gen_eaupotable|ass;Style de remplissage : pas de remplissage\nStyle de bordure : ligne en tiret\nLargeur de bordure : 3 pixels\nCouleur : #00ff00;A5|gen_x|ass;symbole;Symboles concernés :\n\nA5|gen_eaupotable|ass\nA5|gen_assainissement|ass
A5;A5 - Servitudes pour l’établissement de canalisations publiques d’eau ou d’assainissement;A5|gen_assainissement|ass;;;sous-code;
A6;A6 - Servitudes d'écoulement des eaux nuisibles attachées aux travaux d'assainissement des terres par le drainage;A6|gen|ass;Polygone contour simple\ncouleur : #00ff00\nEpaisseur : 1\nRemplissage : motif de points\nSymbole : chapeau chinois\nAngle 270\ntaille : 8\ncouleur : #00ff00\ndistance horizontale : 9 distance verticale : 9;A6|gen|ass;symbole;
A7;A7 - Servitudes relatives aux forêts dites de protection;A7|gen|ass;Motif ponctuel de remplissage : Symbole de \npolice : Wingdings#0xAC\nTaille : 15,0\nCouleur : #00ff00\nDécalage X : 0,00 Décalage Y : 0,00\nSéparation X : 15,00 Séparation Y: 15,00\nContour polygone : Taille : 0,5 Couleur : #00ff00;A7|gen|ass;symbole;
A8;A8 - Servitudes résultant de la mise en défens des terrains et pâturages en montagne et relatives à la protection des dunes du Pas-de-Calais;A8|gen|ass;Motif ponctuel de remplissage : Symbole de \npolice : Wingdings#0xAC\nTaille : 15,0\nCouleur : #a7c135\nDécalage X : 0,00 Décalage Y : 0,00\nSéparation X : 15,00 Séparation Y: 15,00\nContour polygone : Taille : 0,5 Couleur : #00ff00;A8|gen|ass;symbole;
A9;A9 - Zones agricoles protégées;A9|gen|ass;Remplissage : symbole de police : Wingdings  0xa7\nCouleur : #00ff00\nCouleur fond : aucune\nContour polygone : ligne simple\nTaille : 1,2\nCouleur contour : #00ff00;A9|gen|ass;symbole;
